name,requisite
CMPS5J,_
CMPS11,CMPS5J & MATH19A
CMPS12A,MATH19A
CMPS12B,CMPS12A
CMPS13H,!
CMPS101,MATH19B & AMS10 & CMPS12B & CMPE16
CMPS102,CMPS101
CMPS104A,CMPS101 & CMPE12
CMPS111,CMPS101 & CMPE110
CMPS112,CMPS101
CMPS115,CMPS101
CMPS116,CMPS115
CMPS117,CMPS116
CMPS130,CMPS101
CMPS132,CMPS130
CMPS180,CMPS101
CMPS185,CMPS101
CMPE12,CMPS5J
CMPE13,CMPE12
CMPE16,MATH19A
CMPE110,CMPE12 & CMPS11
CMPE107,CMPE16 & MATH23A
AMS10,_
AMS131,MATH19A
PHYS6A,MATH19A
PHYS6B,MATH19A & PHYS6A
CHEM1A,_
CHEM1B,CHEM1A
